Reference,Value,MPN,Footprint,Face,Population,Assembly_note
BT1,Keystone 254 POS,254,T8:Keystone_254_RevC,B,fitted,B-side SMT attachment operation; process/retention not qualified
BT2,Keystone 254 NEG,254,T8:Keystone_254_RevC,B,fitted,B-side SMT attachment operation; process/retention not qualified
C1,10uF/16V,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,F,fitted,MPN/assembly qualification remains open
C2,22pF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C3,22pF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C4,10uF/16V,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,F,fitted,MPN/assembly qualification remains open
C5,10uF/16V,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,F,fitted,MPN/assembly qualification remains open
C6,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C7,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C8,1uF/25V,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C9,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C10,1uF/25V,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C11,1uF/25V,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C12,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C13,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C14,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C15,1uF/25V,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C16,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C17,1uF/25V,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C18,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C19,10uF/16V,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,F,fitted,MPN/assembly qualification remains open
C20,10uF/16V,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,F,fitted,MPN/assembly qualification remains open
C21,220pF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C22,220pF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C23,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C24,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C25,10nF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
C26,22uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,F,fitted,MPN/assembly qualification remains open
C27,22uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,F,fitted,MPN/assembly qualification remains open
C28,22uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,F,fitted,MPN/assembly qualification remains open
C29,220pF (DNP),,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,DNP,MPN/assembly qualification remains open
C30,100n 16V X7R,GRM155R71C104KA88D,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,Not an order authorization
CHG0,ORANGE,,Adafruit Feather RP2040 Prop-Maker-import-fps:CHIPLED_0603_NOOUTLINE,F,fitted,MPN/assembly qualification remains open
CHG_EN0,SOLDERJUMPER_CLOSED,,Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,F,copper-only,MPN/assembly qualification remains open
D+1,"TPB1,27",,"Adafruit Feather RP2040 Prop-Maker-import-fps:B1,27",F,copper-only,MPN/assembly qualification remains open
D-1,"TPB1,27",,"Adafruit Feather RP2040 Prop-Maker-import-fps:B1,27",F,copper-only,MPN/assembly qualification remains open
D3,1N4148,,Adafruit Feather RP2040 Prop-Maker-import-fps:SOD-323_MINI,F,fitted,MPN/assembly qualification remains open
D4,PMEG2020AEA,,Adafruit Feather RP2040 Prop-Maker-import-fps:SOD-323F,F,fitted,MPN/assembly qualification remains open
FB1,Ferrite,,Adafruit Feather RP2040 Prop-Maker-import-fps:0603-NO,F,fitted,MPN/assembly qualification remains open
FB2,Ferrite,,Adafruit Feather RP2040 Prop-Maker-import-fps:0603-NO,F,fitted,MPN/assembly qualification remains open
GAIN0,SOLDERJUMPER_2WAY,,Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,F,copper-only,MPN/assembly qualification remains open
IC1,RP2040_QFN56,,Adafruit Feather RP2040 Prop-Maker-import-fps:QFN56_7MM_REDUCEDEPAD,F,fitted,MPN/assembly qualification remains open
IC4,LSM6DSOXTR,,Adafruit_LSM6DSOX-import-fps:LGA-14L,F,fitted,MPN/assembly qualification remains open
J1,504050-0291,504050-0291,Connector_Molex:Molex_Pico-Lock_504050-0291_1x02-1MP_P1.50mm_Horizontal,F,fitted,Not an order authorization
J2,SM02B-SRSS-TB,SM02B-SRSS-TB,Connector_JST:JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,F,fitted,Not an order authorization
L0,RED,,Adafruit Feather RP2040 Prop-Maker-import-fps:CHIPLED_0603_NOOUTLINE,F,fitted,MPN/assembly qualification remains open
L1,1uH (MPN pending),,Adafruit TPS61023-import-fps:INDUCTOR_5X5MM_TDK_VLC5045,F,fitted,MPN/assembly qualification remains open
Q1,AO3401,,Adafruit Feather RP2040 Prop-Maker-import-fps:SOT23-WIDE,F,fitted,MPN/assembly qualification remains open
Q2,C20917,,Adafruit Feather RP2040 Prop-Maker-import-fps:SOT23-WIDE,F,fitted,MPN/assembly qualification remains open
Q3,DMG3415UFY,,Handbell:DFN2015-3_DrainPad,F,fitted,MPN/assembly qualification remains open
Q4,AO3400A,AO3400A,Package_TO_SOT_SMD:SOT-23,F,fitted,Not an order authorization
Q5,CSD83325L,CSD83325L,T8:CSD83325L_YJE6,F,fitted,Not an order authorization
R1,10K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R2,10K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R3,10K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R4,10K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R5,10K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R6,1K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R7,10K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R8,5.1K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R9,22 ohm,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R10,22 ohm,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R11,1K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R12,5.1K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R13,5.1K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R14,10K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R15,10K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R16,100K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R17,100K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R18,10K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R20,4.7K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R21,10K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R22,1K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R23,732K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R24,100K,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,MPN/assembly qualification remains open
R25,330R,RC0402FR-07330RL,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,Not an order authorization
R26,2.2k,RC0402FR-072K2L,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,Not an order authorization
R27,33m 1% 0.5W,ERJ-6BWFR033V,T8:ERJ6BW_0805,F,fitted,Not an order authorization
R28,5.1M gate discharge,RC0402FR-075M1L,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,Not an order authorization
R29,5.1M gate discharge,RC0402FR-075M1L,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted,Not an order authorization
TP3,TESTPOINTROUND1.5MMNO,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
TP4,TESTPOINTROUND1.5MMNO,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
TP5,TESTPOINTROUND1.5MMNO,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
TP6,TESTPOINTROUND1.5MMNO,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
TP7,~{RESET},,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
TP8,GND,,Adafruit Feather RP2040 Prop-Maker-import-fps:TESTPOINT_ROUND_1.5MM_NO,F,copper-only,MPN/assembly qualification remains open
