reference,from_native_xy_angle,to_native_xy_angle,from_side,to_side
C1,"[-5.819979, -12.535118, 180.0]","[-4.034775, -13.791182, 90]",F,F
C2,"[-7.491404, -0.208214, 90.0]","[-9.0964, -3.04755, 90]",F,F
C3,"[-7.491346, 1.914027, 270.0]","[-9.100819, -0.800669, 270]",F,F
C4,"[-13.404896, -5.309687, 0.0]","[-15.993581, -9.414015, 0]",F,F
C5,"[-11.417907, -10.812876, 180.0]","[-16.178591, -2.508548, 0]",F,F
C6,"[8.689622, -0.182451, 180.0]","[5.497898, -0.400256, 180]",F,F
C7,"[8.460429, 2.217699, 180.0]","[7.803336, 2.200014, 180]",F,F
C8,"[8.463329, 3.418004, 0.0]","[5.501069, 2.200145, 0]",F,F
C9,"[-5.765769, 3.036206, 180.0]","[2.615534, -5.271328, 90]",F,F
C10,"[3.059734, -7.563574, 180.0]","[5.294511, -6.217731, 90]",F,F
C11,"[-7.169298, 6.97243, 90.0]","[-0.994073, 5.195623, 270]",F,F
C12,"[3.059361, -6.228689, 180.0]","[-0.99995, -5.269923, 90]",F,F
C13,"[7.694268, 4.618099, 0.0]","[5.502546, 3.500537, 0]",F,F
C14,"[-2.832032, 1.442344, 180.0]","[-5.195705, 2.304504, 180]",F,F
C15,"[-2.408704, -1.416949, 90.0]","[2.589143, 5.196168, 270]",F,F
C16,"[10.584754, -15.261328, 0.0]","[11.33959, -6.983099, 0]",B,F
C17,"[8.390974, 1.017594, 0.0]","[5.499429, 0.897675, 0]",F,F
C18,"[-2.833131, 2.644313, 0.0]","[-5.19636, 1.003449, 0]",F,F
C19,"[7.434754, -15.811328, 0.0]","[14.218731, -6.93737, 0]",B,F
C20,"[-2.310305, 15.995891, 270.0]","[4.846036, -16.283889, 90]",F,F
C21,"[14.791366, -9.715067, 180.0]","[16.752667, -11.20515, 90]",F,F
C22,"[13.080783, -7.435522, 180.0]","[16.95189, -9.088768, 90]",F,F
C23,"[-10.654587, 0.695574, 90.0]","[-10.697165, -8.508386, 0]",F,F
C24,"[-19.009647, -1.747103, 90.0]","[-7.995917, -6.000331, 90]",F,F
C25,"[5.624695, 9.474634, 180.0]","[4.990239, 7.50713, 0]",F,F
C26,"[-5.867351, 11.000739, 0.0]","[-4.442651, 18.407437, 0]",B,F
C27,"[-0.787351, 12.905739, 180.0]","[-7.265563, 15.705807, 270]",B,F
C28,"[-0.787351, 11.026139, 180.0]","[-9.383487, 15.802423, 270]",B,F
C29,"[-14.092897, -1.353883, 180.0]","[-6.603258, 12.098491, 0]",F,F
C30,"[-11.596466, 5.550217, 0.0]","[-11.596821, 5.551993, 0]",F,F
CHG0,"[6.197163, 11.285293, 90.0]","[7.249567, -17.898013, 90]",F,F
CHG_EN0,"[18.049278, 5.381329, 180.0]","[1.804949, -18.467984, 0]",F,F
D+1,"[17.401567, 7.928973, 180.0]","[18.050104, 4.365071, 0]",F,F
D-1,"[13.48695, 12.703979, 180.0]","[17.785719, 6.543881, 0]",F,F
D3,"[-13.304175, 13.644105, 270.0]","[8.553, -6.166061, 270]",F,F
D4,"[-7.822392, -9.432449, 180.0]","[-2.000859, -8.498968, 0]",F,F
FB1,"[11.830722, -3.33077, 90.0]","[14.513146, -9.989708, 0]",F,F
FB2,"[11.798119, -6.08511, 0.0]","[14.513529, -12.074352, 0]",F,F
GAIN0,"[1.300548, 17.538442, 180.0]","[0.260031, 9.260848, 270]",F,F
IC1,"[2.419202, 1.25743, 270.0]","[0.0, 0.0, 270]",F,F
IC4,"[-9.924163, -5.767241, 270.0]","[-10.500194, -6.007289, 270]",F,F
J1,"[16.387206, -0.742642, 90.0]","[16.5, -1.0, 90]",F,F
J2,"[13.498887, 7.810292, 0.0]","[14.0, 8.0, 0]",F,F
L0,"[-16.649047, -5.608927, 90.0]","[-5.00046, 9.003011, 90]",F,F
L1,"[-5.359351, 15.064739, 90.0]","[0.478653, 15.758568, 180]",B,F
Q1,"[-13.459248, 1.129872, 0.0]","[-18.872664, 1.307474, 0]",F,F
Q2,"[-18.594477, 2.105191, 0.0]","[-13.027555, 1.315177, 0]",F,F
Q3,"[-2.05249, -12.350883, 90.0]","[-1.997257, -11.500683, 90]",F,F
Q4,"[16.069391, -7.2273, 180.0]","[10.633404, -14.051652, 0]",F,F
Q5,"[-14.396466, 7.350217, 90.0]","[-14.400825, 7.35048, 90]",F,F
R1,"[-4.509899, 8.798714, 180.0]","[-4.511007, 5.005938, 0]",F,F
R2,"[9.662175, 11.442053, 90.0]","[4.51505, -18.704371, 0]",F,F
R3,"[-11.704037, -8.717869, 180.0]","[-18.437273, -6.197757, 90]",F,F
R4,"[-0.391388, -10.712168, 270.0]","[0.201085, -11.50129, 90]",F,F
R5,"[4.717902, -7.26427, 90.0]","[7.001181, -6.301464, 90]",F,F
R6,"[-3.105298, 0.24143, 0.0]","[-4.824586, -0.794099, 90]",F,F
