Reference,Value,MPN,Footprint,Side,Status
BT1,Keystone 254 POS,254,T8:Keystone_254_RevC,B,fitted-draft
BT2,Keystone 254 NEG,254,T8:Keystone_254_RevC,B,fitted-draft
C1,10uF/16V,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,F,fitted-draft
C2,22pF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C3,22pF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C4,10uF/16V,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,F,fitted-draft
C5,10uF/16V,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,F,fitted-draft
C6,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C7,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C8,1uF/25V,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C9,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C10,1uF/25V,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C11,1uF/25V,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C12,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C13,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C14,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C15,1uF/25V,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C16,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,B,fitted-draft
C17,1uF/25V,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C18,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C19,10uF/16V,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,B,fitted-draft
C20,10uF/16V,,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,F,fitted-draft
C21,220pF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C22,220pF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C23,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
C24,0.1uF,,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,F,fitted-draft
