Reference,Value,Footprint,MPN,DNP,Review status
C1,10uF/16V,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C10,1uF/25V,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C11,1uF/25V,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C12,0.1uF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C13,0.1uF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C14,0.1uF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C15,1uF/25V,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C16,0.1uF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C17,1uF/25V,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C18,0.1uF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C19,10uF/16V,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C2,22pF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C20,10uF/16V,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C21,220pF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C22,220pF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
C23,0.1uF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"100 nF local IMU bypass; dielectric, voltage, tolerance and MPN pending"
C24,0.1uF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"100 nF local IMU bypass; dielectric, voltage, tolerance and MPN pending"
C25,10nF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,New control/filter passive; voltage/tolerance/MPN and cable review pending
C26,22uF,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,,no,"Boost design candidate; exact MPN, effective values, compensation and thermal review pending"
C27,22uF,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,,no,"Boost design candidate; exact MPN, effective values, compensation and thermal review pending"
C28,22uF,Adafruit Feather RP2040 Prop-Maker-import-fps:0805-NO,,no,"Boost design candidate; exact MPN, effective values, compensation and thermal review pending"
C29,220pF (DNP),Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,yes,"Boost design candidate; exact MPN, effective values, compensation and thermal review pending"
C3,22pF,Adafruit Feather RP2040 Prop-Maker-import-fps:_0402NO,,no,"Inherited reference; exact MPN, assembly SKU and fit review pending"
